"NGÀY","Tháng","ID","FANPAGE","CHIẾN DỊCH","TỔNG","SPAM","TIỀM NĂNG","CHẤT LƯỢNG","ĐẶT HẸN","ĐẾN PK","CHỐT"," BILL ","Ngân sách mục tiêu","Ngân sách thực tế","KPI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23/02/2025","03.2025","23","2 PAGE TEENNIE","NGÔ KIẾN HUY HỒNG","11","1","4","6","0","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24/03/2025","03.2025","26","2 PAGE TEENNIE","ƯU ĐÃI TEENNIE 31/05","7","0","1","6","1","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25/03/2025","03.2025","24","2 PAGE TEENNIE","TEENNIE - ASMR","10","2","2","6","0","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26/03/2025","03.2025","22","2 PAGE TEENNIE","B TIẾN LUẬT CHỮ HỒNG ","7","0","1","6","0","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28/04/2025","04.2025","23","2 PAGE TEENNIE","NGÔ KIẾN HUY HỒNG","16","10","","6","1","2","1","  42.500.000 ","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"04/05/2025","05.2025","23","2 PAGE TEENNIE","NGÔ KIẾN HUY HỒNG","16","","10","6","2","","","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"09/03/2025","03.2025","23","2 PAGE TEENNIE","NGÔ KIẾN HUY HỒNG","14","8","1","5","2","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/03/2025","03.2025","23","2 PAGE TEENNIE","NGÔ KIẾN HUY HỒNG","15","0","10","5","0","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","0","","","","","","","","0","","","","","","",""
"16/03/2025","03.2025","23","2 PAGE TEENNIE","NGÔ KIẾN HUY HỒNG","19","7","7","5","0","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18/03/2025","03.2025","24","2 PAGE TEENNIE","TEENNIE - ASMR","9","0","4","5","0","0","0","  30.000.000 ","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20/03/2025","03.2025","23","2 PAGE TEENNIE","NGÔ KIẾN HUY HỒNG","12","4","3","5","2","1","1","  44.000.000 ","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05/05/2025","05.2025","25","2 PAGE TEENNIE","NIỀNG RĂNG XINH, GIÁ HỌC SINH","3","","1","2","1","","","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23/02/2025","03.2025","26","2 PAGE TEENNIE","ƯU ĐÃI TEENNIE 31/05","8","2","1","5","1","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27/03/2025","03.2025","23","2 PAGE TEENNIE","NGÔ KIẾN HUY HỒNG","10","0","5","5","1","1","1","  38.000.000 ","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30/03/2025","03.2025","26","2 PAGE TEENNIE","ƯU ĐÃI TEENNIE 31/05","5","0","0","5","2","2","1","  41.000.000 ","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27/04/2025","04.2025","27","2 KHÁC TEENNIE","2 KHÁC TEENNIE","5","","","5","","","","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05/05/2025","05.2025","27","2 KHÁC TEENNIE","2 KHÁC TEENNIE","6","","1","5","2","","","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"04/03/2025","03.2025","24","2 PAGE TEENNIE","TEENNIE - ASMR","10","4","2","4","0","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"04/03/2025","03.2025","26","2 PAGE TEENNIE","ƯU ĐÃI TEENNIE 31/05","6","1","1","4","0","1","1","  43.000.000 ","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07/03/2025","03.2025","23","2 PAGE TEENNIE","NGÔ KIẾN HUY HỒNG","7","0","3","4","1","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"09/03/2025","03.2025","26","2 PAGE TEENNIE","ƯU ĐÃI TEENNIE 31/05","8","3","1","4","0","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/03/2025","03.2025","24","2 PAGE TEENNIE","TEENNIE - ASMR","6","0","2","4","0","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"04/05/2025","05.2025","25","2 PAGE TEENNIE","NIỀNG RĂNG XINH, GIÁ HỌC SINH","5","1","3","1","","","","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13/03/2025","03.2025","26","2 PAGE TEENNIE","ƯU ĐÃI TEENNIE 31/05","6","0","2","4","1","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14/03/2025","03.2025","22","2 PAGE TEENNIE","B TIẾN LUẬT CHỮ HỒNG ","6","0","2","4","0","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15/03/2025","03.2025","24","2 PAGE TEENNIE","TEENNIE - ASMR","7","0","3","4","0","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16/03/2025","03.2025","26","2 PAGE TEENNIE","ƯU ĐÃI TEENNIE 31/05","6","2","0","4","4","1","1","  43.000.000 ","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20/03/2025","03.2025","24","2 PAGE TEENNIE","TEENNIE - ASMR","15","11","0","4","0","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22/03/2025","03.2025","26","2 PAGE TEENNIE","ƯU ĐÃI TEENNIE 31/05","7","3","0","4","3","1","0","  -   ","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22/03/2025","03.2025","23","2 PAGE TEENNIE","NGÔ KIẾN HUY HỒNG","20","10","6","4","4","2","2","  73.600.000 ","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25/03/2025","03.2025","26","2 PAGE TEENNIE","ƯU ĐÃI TEENNIE 31/05","7","2","1","4","2","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26/03/2025","03.2025","23","2 PAGE TEENNIE","NGÔ KIẾN HUY HỒNG","18","5","9","4","0","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26/03/2025","03.2025","26","2 PAGE TEENNIE","ƯU ĐÃI TEENNIE 31/05","10","0","6","4","2","1","1","  41.000.000 ","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02/05/2025","05.2025","27","2 KHÁC TEENNIE","2 KHÁC TEENNIE","11","6","1","4","3","3","3","  111.000.000 ","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02/05/2025","05.2025","24","2 PAGE TEENNIE","TEENNIE - ASMR","22","16","2","4","","1","1","  41.000.000 ","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03/05/2025","05.2025","23","2 PAGE TEENNIE","NGÔ KIẾN HUY HỒNG","24","11","9","4","4","3","3","  142.000.000 ","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05/05/2025","05.2025","23","2 PAGE TEENNIE","NGÔ KIẾN HUY HỒNG","9","","5","4","1","","","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01/03/2025","03.2025","26","2 PAGE TEENNIE","ƯU ĐÃI TEENNIE 31/05","4","0","1","3","1","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02/03/2025","03.2025","24","2 PAGE TEENNIE","TEENNIE - ASMR","9","3","3","3","0","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02/03/2025","03.2025","26","2 PAGE TEENNIE","ƯU ĐÃI TEENNIE 31/05","5","2","0","3","0","1","1","  14.400.000 ","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03/03/2025","03.2025","26","2 PAGE TEENNIE","ƯU ĐÃI TEENNIE 31/05","3","0","0","3","0","1","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01/05/2025","05.2025","25","2 PAGE TEENNIE","NIỀNG RĂNG XINH, GIÁ HỌC SINH","5","5","","","","","","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"08/03/2025","03.2025","24","2 PAGE TEENNIE","TEENNIE - ASMR","10","2","5","3","1","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"09/03/2025","03.2025","24","2 PAGE TEENNIE","TEENNIE - ASMR","7","2","2","3","0","1","0","  -   ","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/03/2025","03.2025","24","2 PAGE TEENNIE","TEENNIE - ASMR","7","0","4","3","0","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/03/2025","03.2025","24","2 PAGE TEENNIE","TEENNIE - ASMR","10","4","3","3","0","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/03/2025","03.2025","22","2 PAGE TEENNIE","B TIẾN LUẬT CHỮ HỒNG ","4","0","1","3","0","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14/03/2025","03.2025","23","2 PAGE TEENNIE","NGÔ KIẾN HUY HỒNG","9","4","2","3","1","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02/05/2025","05.2025","25","2 PAGE TEENNIE","NIỀNG RĂNG XINH, GIÁ HỌC SINH","3","3","","","","1","0","  -   ","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16/03/2025","03.2025","22","2 PAGE TEENNIE","B TIẾN LUẬT CHỮ HỒNG ","4","1","0","3","1","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03/05/2025","05.2025","25","2 PAGE TEENNIE","NIỀNG RĂNG XINH, GIÁ HỌC SINH","9","9","","","","","","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17/03/2025","03.2025","22","2 PAGE TEENNIE","B TIẾN LUẬT CHỮ HỒNG ","4","0","1","3","2","1","1","  45.000.000 ","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18/03/2025","03.2025","26","2 PAGE TEENNIE","ƯU ĐÃI TEENNIE 31/05","6","0","3","3","3","2","2","  62.000.000 ","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18/03/2025","03.2025","22","2 PAGE TEENNIE","B TIẾN LUẬT CHỮ HỒNG ","4","0","1","3","0","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19/03/2025","03.2025","23","2 PAGE TEENNIE","NGÔ KIẾN HUY HỒNG","9","3","3","3","2","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19/03/2025","03.2025","26","2 PAGE TEENNIE","ƯU ĐÃI TEENNIE 31/05","3","0","0","3","2","1","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21/03/2025","03.2025","26","2 PAGE TEENNIE","ƯU ĐÃI TEENNIE 31/05","3","0","0","3","0","2","2","  82.000.000 ","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24/03/2025","03.2025","23","2 PAGE TEENNIE","NGÔ KIẾN HUY HỒNG","11","4","4","3","1","1","1","  1.000.000 ","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"06/05/2025","05.2025","25","2 PAGE TEENNIE","NIỀNG RĂNG XINH, GIÁ HỌC SINH","1","1","","","","","","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29/03/2025","03.2025","24","2 PAGE TEENNIE","TEENNIE - ASMR","12","7","2","3","0","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30/03/2025","03.2025","23","2 PAGE TEENNIE","NGÔ KIẾN HUY HỒNG","8","0","5","3","2","1","1","  37.000.000 ","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31/03/2025","03.2025","24","2 PAGE TEENNIE","TEENNIE - ASMR","10","2","5","3","0","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29/04/2025","04.2025","27","2 KHÁC TEENNIE","2 KHÁC TEENNIE","5","","2","3","","","","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02/05/2025","05.2025","23","2 PAGE TEENNIE","NGÔ KIẾN HUY HỒNG","19","11","5","3","2","","","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"06/05/2025","05.2025","27","2 KHÁC TEENNIE","2 KHÁC TEENNIE","4","","1","3","2","","","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07/05/2025","05.2025","23","2 PAGE TEENNIE","NGÔ KIẾN HUY HỒNG","18","7","8","3","1","","","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07/05/2025","05.2025","25","2 PAGE TEENNIE","NIỀNG RĂNG XINH, GIÁ HỌC SINH","2","2","","","","","","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03/03/2025","03.2025","22","2 PAGE TEENNIE","B TIẾN LUẬT CHỮ HỒNG ","8","5","1","2","0","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"04/03/2025","03.2025","23","2 PAGE TEENNIE","NGÔ KIẾN HUY HỒNG","7","1","4","2","3","1","1","  37.500.000 ","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05/03/2025","03.2025","32","2 HOTLINE TEENNIE","2 HOTLINE TEENNIE","2","0","0","2","2","2","2","  78.000.000 ","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05/03/2025","03.2025","33","2 GIỚI THIỆU TEENNIE","2 GIỚI THIỆU TEENNIE","2","0","0","2","1","2","2","  206.500.000 ","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05/03/2025","03.2025","26","2 PAGE TEENNIE","ƯU ĐÃI TEENNIE 31/05","2","0","0","2","2","2","2","  88.000.000 ","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"06/03/2025","03.2025","33","2 GIỚI THIỆU TEENNIE","2 GIỚI THIỆU TEENNIE","2","0","0","2","2","2","2","  53.350.000 ","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
